timestamp,command,speed,battery,flight_time,height,temperature,attitude,barometer,tof_distance
1741482124.576735,takeoff,100.0,59,76s,7dm,77~80C,"{'pitch': 0, 'roll': 0, 'yaw': -3}",241.874786,757mm
1741482129.909537,move_up(50),100.0,59,81s,12dm,76~79C,"{'pitch': 0, 'roll': 0, 'yaw': -3}",242.448914,1215mm
1741482135.573279,move_forward(100),100.0,59,87s,12dm,75~78C,"{'pitch': 0, 'roll': 0, 'yaw': -3}",242.376114,1236mm
1741482140.6020741,move_left(50),100.0,59,92s,12dm,74~77C,"{'pitch': 0, 'roll': 0, 'yaw': -3}",242.372696,1202mm
1741482145.529315,move_right(50),100.0,59,97s,12dm,73~76C,"{'pitch': 0, 'roll': 0, 'yaw': -3}",242.325195,1200mm
1741482150.759435,move_down(50),100.0,59,102s,7dm,72~75C,"{'pitch': 0, 'roll': 0, 'yaw': -3}",241.895645,743mm
1741482155.883908,rotate_clockwise(90),100.0,59,107s,7dm,72~74C,"{'pitch': 0, 'roll': 1, 'yaw': 85}",241.910324,745mm
1741482161.83368,move_back(100),100.0,59,113s,7dm,71~73C,"{'pitch': 0, 'roll': 0, 'yaw': 84}",241.781616,737mm
1741482168.3126662,flip_forward(),100.0,59,120s,7dm,71~74C,"{'pitch': 0, 'roll': 0, 'yaw': 84}",241.860748,714mm
1741482174.7865229,flip_left(),100.0,59,126s,7dm,71~73C,"{'pitch': 0, 'roll': 1, 'yaw': 84}",241.779205,712mm
1741482181.264329,flip_right(),100.0,59,133s,7dm,70~72C,"{'pitch': 0, 'roll': 0, 'yaw': 84}",241.785370,721mm
1741482187.836283,flip_back(),100.0,59,139s,6dm,69~73C,"{'pitch': 0, 'roll': 0, 'yaw': 84}",241.797394,679mm
1741482192.659391,move_up(30),100.0,59,144s,9dm,69~72C,"{'pitch': 0, 'roll': 0, 'yaw': 84}",242.073288,959mm
1741482197.366764,move_forward(30),100.0,59,149s,9dm,69~71C,"{'pitch': 0, 'roll': 0, 'yaw': 85}",242.022797,951mm
1741482202.293335,move_down(30),100.0,59,154s,6dm,68~71C,"{'pitch': 0, 'roll': 0, 'yaw': 84}",241.758392,686mm
1741482206.588782,rotate_counter_clockwise(45),100.0,59,158s,6dm,69~71C,"{'pitch': 0, 'roll': 0, 'yaw': 41}",241.797775,680mm
1741482211.41059,move_right(40),100.0,59,163s,6dm,69~71C,"{'pitch': 0, 'roll': 0, 'yaw': 41}",241.825073,683mm
1741482216.12544,move_left(40),100.0,59,167s,6dm,68~71C,"{'pitch': 0, 'roll': 0, 'yaw': 41}",241.855118,680mm
1741482220.740459,move_back(30),100.0,58,172s,6dm,67~70C,"{'pitch': 0, 'roll': 0, 'yaw': 41}",241.750763,684mm
1741482226.068033,land,100.0,57,175s,0dm,67~70C,"{'pitch': 0, 'roll': 0, 'yaw': 36}",240.992706,100mm
